G?BFNk 	independence=5 	domination=2
G?BFM{ 	independence=5 	domination=2
G?BFL{ 	independence=5 	domination=2
G?BFN{ 	independence=5 	domination=1
G?BDn_ 	independence=5 	domination=3
G?BDnO 	independence=5 	domination=2
G?BDlo 	independence=5 	domination=2
G?BDjo 	independence=5 	domination=2
G?BDno 	independence=5 	domination=2
G?BDng 	independence=5 	domination=3
G?BDnW 	independence=5 	domination=2
G?BDlw 	independence=5 	domination=2
G?BDjw 	independence=5 	domination=2
G?BDnc 	independence=5 	domination=3
G?BDnS 	independence=5 	domination=2
G?BDls 	independence=5 	domination=2
G?BDjs 	independence=5 	domination=2
G?BDnK 	independence=5 	domination=3
G?BDlk 	independence=5 	domination=3
G?BDjk 	independence=5 	domination=3
G?BDm[ 	independence=5 	domination=2
G?BDl[ 	independence=5 	domination=3
G?BDj[ 	independence=5 	domination=2
G?BDnw 	independence=5 	domination=2
G?BDns 	independence=5 	domination=2
G?BDnk 	independence=5 	domination=2
G?BDn[ 	independence=5 	domination=2
G?BDl{ 	independence=5 	domination=2
G?BDj{ 	independence=5 	domination=2
G?BDn{ 	independence=5 	domination=1
G?B@~_ 	independence=5 	domination=2
G?B@|o 	independence=5 	domination=2
G?B@~o 	independence=5 	domination=2
G?B@~g 	independence=5 	domination=2
G?B@|w 	independence=5 	domination=2
G?B@~c 	independence=5 	domination=2
G?B@|s 	independence=5 	domination=2
G?B@~K 	independence=5 	domination=2
G?B@|k 	independence=5 	domination=3
G?B@x{ 	independence=5 	domination=2
G?B@~w 	independence=5 	domination=2
G?B@~s 	independence=5 	domination=2
G?B@~k 	independence=5 	domination=2
G?B@|{ 	independence=5 	domination=2
G?B@~{ 	independence=5 	domination=1
G?BFvo 	independence=5 	domination=3
G?BFvw 	independence=5 	domination=2
G?BFvs 	independence=5 	domination=2
G?BFv{ 	independence=5 	domination=1
G?BFno 	independence=5 	domination=2
G?BFng 	independence=5 	domination=3
G?BFnW 	independence=5 	domination=2
G?BFnw 	independence=5 	domination=2
G?BFns 	independence=5 	domination=2
G?BFnk 	independence=5 	domination=2
G?BFn[ 	independence=5 	domination=2
G?BFn{ 	independence=5 	domination=1
G?BD~o 	independence=5 	domination=2
G?BD~g 	independence=5 	domination=2
G?BD|w 	independence=5 	domination=2
G?BDzw 	independence=5 	domination=2
G?BD~w 	independence=5 	domination=2
G?BD~s 	independence=5 	domination=2
G?BD~k 	independence=5 	domination=2
G?BD|{ 	independence=5 	domination=2
G?BDz{ 	independence=5 	domination=2
G?BD~{ 	independence=5 	domination=1
G?BF~w 	independence=5 	domination=2
G?BF~{ 	independence=5 	domination=1
G?BfF? 	independence=5 	domination=5
G?BfF_ 	independence=5 	domination=4
G?BfEo 	independence=5 	domination=3
G?BfFG 	independence=5 	domination=4
G?BfEK 	independence=5 	domination=4
G?BfCk 	independence=5 	domination=3
G?Bf?{ 	independence=5 	domination=2
G?BfFo 	independence=5 	domination=3
G?BfFg 	independence=5 	domination=3
G?BfEw 	independence=5 	domination=2
G?BfFK 	independence=5 	domination=3
G?BfEk 	independence=5 	domination=3
G?BfC{ 	independence=5 	domination=2
G?BfFw 	independence=5 	domination=2
G?BfFk 	independence=5 	domination=2
G?BfE{ 	independence=5 	domination=2
G?BfF{ 	independence=5 	domination=1
G?Bef_ 	independence=5 	domination=4
